nombre_sbs,nombre_bd,entidad,microfinanciera,nacional,clasificacion
Solución Financiera de Crédito,Financiera Solución,FINANCIERAS,SI,LOCAL,SF
Financiera Surgir,Financiera Surgir,FINANCIERAS,NO,LOCAL,SMF
Finaciera TFC S.A.,Financiera TFC,FINANCIERAS,NO,LOCAL,SF
Financiera TFC S.A.,Financiera TFC,FINANCIERAS,NO,LOCAL,SF
Financiera TFC S.A.1/,Financiera TFC,FINANCIERAS,NO,LOCAL,SF
Financiera UNO,Financiera XP,FINANCIERAS,NO,LOCAL,SF
Financiera UNO 1/,Financiera XP,FINANCIERAS,NO,LOCAL,SF
Financiera Universal,Financiera Universal,FINANCIERAS,SI,LOCAL,SF
Financiera Universal 1/,Financiera Universal,FINANCIERAS,SI,LOCAL,SF
TOTAL BANCA MÚLTIPLE,Total BM,TOTAL,-,-,-
TOTAL BANCA MÚLTIPLE 1/,Total BM,TOTAL,-,-,-
TOTAL CAJAS MUNICIPALES,Total CM,TOTAL,-,-,-
TOTAL CAJAS MUNICIPALES 1/,Total CM,TOTAL,-,-,-
TOTAL CAJAS MUNICIPALES DE AHORRO Y CRÉDITO,Total CM (sin CMCP Lima),TOTAL,-,-,-
TOTAL CAJAS RURALES 1/,Total CR,TOTAL,-,-,-
TOTAL CAJAS RURALES DE AHORRO Y CRÉDITO,Total CR,TOTAL,-,-,-
TOTAL CAJAS RURALES DE AHORRO Y CRÉDITO **,Total CR,TOTAL,-,-,-
TOTAL EDPYMES,Total ED,TOTAL,-,-,-
TOTAL EDPYMES ** 2/,Total ED,TOTAL,-,-,-
TOTAL EDPYMES 1/,Total ED,TOTAL,-,-,-
TOTAL EMPRESAS DE CRÉDITOS,Total ED,TOTAL,-,-,-
TOTAL EMPRESA FINANCIERA,Total FI,TOTAL,-,-,-
TOTAL EMPRESAS FINANCIERAS,Total FI,TOTAL,-,-,-
TOTAL EMPRESAS FINANCIERAS 1/,Total FI,TOTAL,-,-,-
TOTAL EMPRESAS FINANCIERS **,Total FI,TOTAL,-,-,-
TOTAL EPRESAS FINANCIERAS **,Total FI,TOTAL,-,-,-
B. BCI Perú,Banco BCI Perú,BANCOS,NO,LOCAL,SF
TOTAL EC,Total ED,TOTAL,-,-,-
